Date,open,high,low,close,volume,SMA_10,EMA_10,RSI_14,Company_BAJFINANCE,Company_HDFCBANK,Company_ICICIBANK,Company_INFY,Company_ITC,Company_KOTAKBANK,Company_RELIANCE,Company_SBIN,Company_TCS
01-08-2022,2580,2668.55,2569.3,2658.9,369198,2455.83119,2061.131972,51.77826743,0,0,0,0,0,0,0,0,0
01-08-2022,819,825,817.1,823.3,7395011,2208.08119,1836.071614,48.62416984,0,0,0,0,1,0,0,0,0
02-08-2022,310.4,316.65,308.3,309.65,2563296,1513.00119,1558.540411,38.8732448,0,0,0,0,0,0,0,0,1
02-08-2022,1854,1892.5,1833.7,1884.35,46934,1515.98119,1617.778518,48.7739893,0,0,0,0,1,0,0,0,0
02-08-2022,2661,2696,2641.05,2682.9,35782,1549.52,1811.43697,53.45440631,0,0,0,0,0,1,0,0,0
02-08-2022,7217,7354.95,7185,7341,33851,2252.865,2816.812066,56.92725485,0,0,0,0,0,0,1,0,0
02-08-2022,3281,3311.45,3272,3290.05,75259,2251.95,2902.855327,43.21366981,0,0,0,0,0,0,1,0,0
02-08-2022,1549,1549,1528.65,1542.9,77041,2251.18,2655.590722,49.39117003,1,0,0,0,0,0,0,0,0
02-08-2022,1442,1443.8,1423,1428.85,128370,2249.55,2432.546954,48.17836138,1,0,0,0,0,0,0,0,0
02-08-2022,821.8,822,812.3,816.75,112850,2277.865,2138.76569,51.07031454,0,1,0,0,0,0,0,0,0
02-08-2022,532.6,545,531.1,541.85,564728,2066.16,1848.417383,43.45689383,0,0,0,0,0,0,1,0,0
02-08-2022,2345.4152,2376.1368,2334.2479,2354.8049,283788,2219.31049,1940.48784,51.9025425,0,0,0,1,0,0,0,0,0
03-08-2022,816.5,827.9,811.5,824.7,250820,2270.81549,1737.617324,48.62486845,0,0,0,1,0,0,0,0,0
03-08-2022,2689,2717.95,2672,2711.55,23565,2353.53549,1914.695992,54.62705273,0,0,1,0,0,0,0,0,0
03-08-2022,310.45,310.7,303.7,308.1,620789,2116.05549,1622.58763,45.06406341,0,0,0,1,0,0,0,0,0
03-08-2022,1424.75,1435.4,1417.05,1433.15,160346,1525.27049,1588.144425,51.31987538,0,0,0,0,0,0,1,0,0
03-08-2022,3289.5,3349,3276.7,3339.6001,47351,1530.2255,1906.590911,56.18474297,0,0,0,0,1,0,0,0,0
03-08-2022,1878,1880,1840.5,1851.4,32304,1561.0755,1896.5562,49.93250402,1,0,0,0,0,0,0,0,0
03-08-2022,541.85,546.3,535,540.8,596673,1472.2705,1650.055073,45.70220349,0,0,0,0,0,0,0,1,0
03-08-2022,7340,7377,7217,7292.95,38753,2119.8905,2676.035969,49.91106779,0,0,0,0,0,0,0,0,1
03-08-2022,1544,1570,1540.3,1565.15,141963,2222.2205,2474.056702,46.99408995,0,0,0,0,0,1,0,0,0
03-08-2022,2367.8866,2379.3275,2340.6292,2375.4987,159491,2224.28988,2456.137065,51.49990711,0,0,0,0,0,0,0,0,1
04-08-2022,822.8,830,808.5,819.85,220402,2223.80488,2158.630326,48.95707061,1,0,0,0,0,0,0,0,0
04-08-2022,2718,2743.8,2683.45,2723.2,68468,2224.96988,2261.279357,53.12657261,0,0,0,0,0,0,0,1,0
04-08-2022,310,310.4,307.35,309.45,423021,2225.10488,1906.401292,49.64385006,1,0,0,0,0,0,0,0,0
04-08-2022,1437.25,1446.65,1413.4,1430.35,144833,2224.82488,1819.846512,48.55258344,0,0,0,0,0,0,0,1,0
04-08-2022,2384.7972,2386.3014,2310.956,2344.1389,190556,2125.27876,1915.172401,52.42579758,1,0,0,0,0,0,0,0,0
04-08-2022,1583,1603.7,1574.9,1599.65,230784,2100.10376,1857.804692,48.15764033,0,0,0,0,0,0,0,1,0
04-08-2022,543.9,544.25,524.3,532.9,579133,2099.31376,1616.912929,50.38974627,0,0,0,0,0,1,0,0,0
04-08-2022,1841.05,1858,1814.05,1835.1,45913,1553.52876,1656.583306,50.69262494,0,0,0,1,0,0,0,0,0
04-08-2022,3352,3387.95,3306.6499,3354.1499,128302,1732.42875,1965.231778,50.02541092,0,0,0,0,0,1,0,0,0
04-08-2022,7348.95,7385.1,7207.85,7318.4,40273,2226.71888,2938.535091,58.78795496,1,0,0,0,0,0,0,0,0
05-08-2022,1610,1625.6,1603.65,1616.55,109383,2306.38888,2698.174165,51.5152977,0,0,0,0,0,0,1,0,0
05-08-2022,1430,1436.2,1421.45,1426.55,132757,2176.72388,2466.969771,39.86250695,0,0,0,0,0,0,0,0,1
05-08-2022,1835.15,1849.5,1823.65,1833.55,42818,2329.13388,2351.80254,50.56832197,0,0,0,0,1,0,0,0,0
05-08-2022,2764,2768.45,2685.1,2697.6,55985,2455.85888,2414.674806,50.68048392,0,0,0,0,0,0,1,0,0
